article_id,title,url,short_description,reading_time
1,Материнский капитал: куда использовать и как воспользоваться,https://www.vtb.ru/articles/kogda-mozhno-ispolzovat-materinskiy-kapital/,"Материнский (семейный) капитал — это мера поддержки семей с детьми, которая начала действовать в России с 2007 года. Программу периодически продлевают, сейчас воспользоваться помощью государства можно до 2026 года. Сумму ежегодно индексируют, а еще иногда обновляют условия.",5
2,Как получить социальную ипотеку,https://www.vtb.ru/articles/kak-poluchit-socialnuyu-ipoteku/,"Государство предоставляет меры защиты и поддержки при покупке определенного вида жилья, а также для определенных категорий населения: семей с детьми, жителей отдаленных регионов и небольших населенных пунктов, работников бюджетной сферы. Кому положена льготная социальная ипотека и как купить жилье на специальных условиях — расскажем в статье.",5
3,Новые выплаты на детей в 2023 году,https://www.vtb.ru/articles/novye-vyplaty-na-detey/,"С 1 января 2023 года меняются правила выплаты детских пособий. Вместо нескольких видов социальных пособий на детей и беременных женщин вводится единое.",5
4,Пособия для инвалидов в 2023 году,https://www.vtb.ru/articles/posobiya-dlya-invalidov-v-23-godu/,"Люди с инвалидностью часто нуждаются в особой помощи: постоянном лекарственном обеспечении, специальном оборудовании, уходе. Государство предусмотрело ряд мер и пособий для таких людей.",5
5,Субсидии на открытие бизнеса: как получить деньги по госпрограмме,https://www.vtb.ru/articles/subsidii-na-otkrytie-biznesa/,"Государственная субсидия на открытие бизнеса — это безвозмездная финансовая помощь для начинающих предпринимателей. Она предоставляется из средств государственного или регионального бюджета. С помощью программы единовременной помощи от государства на открытие бизнеса выигрывают обе стороны. Начинающий коммерсант получает дополнительное финансирование, а государство — налоги, дополнительные рабочие места и прирост ВВП.",7
6,Сколько получают пенсионеры в 2023 году,https://www.vtb.ru/articles/pensii-v-2023-godu/,"Фактический размер пенсии и доплат зависит от накопленных пенсионных баллов, года оформления пенсии и региона проживания человека.",3
7,Как понять что звонят мошенники,https://www.vtb.ru/articles/zvonyat-moshenniki/,"Мошенничество по телефону — это уголовно наказуемая деятельность, она попадает под 159 ст. УК РФ. Если человек пострадал от злоумышленников, он может заявить в полицию. Но лучше заранее изучить поведение и приемы преступников, чтобы не попадаться на их уловки.",5
8,Что такое дебетовая карта,https://www.vtb.ru/articles/chto-takoye-debetovaya-karta/,"О том, что такое дебетовая карта, некоторые люди знают лишь приблизительно, и не все понимают практичность этого банковского продукта. Физически он представляет собой пластиковый прямоугольник с уникальным номером, именем держателя, сроком действия и зашифрованными данными о счете. На карточку кладут деньги и пользуются ею так же, как наличными. Можно потратить только сумму, которая лежит на счете, не более. Этим дебетовая карточка отличается от кредитки.",5
9,Что такое платёжная система,https://www.vtb.ru/articles/platezhnye-sistemy-eto/,"Платежная система (ПС) — это обширная инфраструктура, которая обеспечивает совершение любых финансовых транзакций без использования наличных. Благодаря наличию ПС работают банковские карты и электронные кошельки. Мы можем получать зарплату на счет, совершать онлайн-покупки, переводить деньги друзьям и близким. Это нужно не только людям, но и бизнесу — чтобы принимать оплату, формировать чеки и отчитываться об операциях в налоговую.",4
10,Как положить деньги на карту,https://www.vtb.ru/articles/kak-polozhit-dengi-na-kartu/,"Банки вкладываются в развитие технологий, делают сервисы для клиентов более доступными и простыми. Чтобы положить деньги на карту, совсем не обязательно обращаться в отделение банка. Подавляющее большинство операций можно провести дистанционно.",5
11,CVV и CVC: что это на карте,https://www.vtb.ru/articles/cvv-cvc-chto-eto-na-karte/,"Использование банковских карт для оплаты покупок и услуг, для денежных переводов не только удобнее, но и безопаснее расчетов наличными. Пластик имеет несколько степеней защиты, в числе которых коды CVV и CVC. Обладателям карточек важно знать, где расположены, что представляют собой шифры, когда необходимо и при каких условиях нельзя их раскрывать. От этого зависит сохранность денег на счете.",4
